Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
hubert-pc,D,sort,O2,d/sortgdcO2,10000-3.in,10000,0.008545286999947166
hubert-pc,Python,quicksort,,python/quicksort.py,1000000-4.in,1000000,5.8939825150000615
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,1000-2.in,1000,0.004219681999984459
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10000000-2.in,10000000,5.097827166000002
hubert-pc,Python,quicksort,,python/quicksort.py,10-4.in,10,0.02365095800007566
hubert-pc,Python,sort,,python/sort.py,1000-5.in,1000,0.025227018000009593
hubert-pc,D,sort,O3,d/sortgdcO3,10-3.in,10,0.0013727969999308698
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-4.in,1000,0.00165867700002309
hubert-pc,Python,sort,,python/sort.py,1000000-4.in,1000000,1.5276412929999879
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-3.in,10000,0.008681325999987166
hubert-pc,Python,quicksort,,python/quicksort.py,1000-1.in,1000,0.024018402000024253
hubert-pc,Python,sort,,python/sort.py,100-3.in,100,0.023358766000001197
hubert-pc,D,sort,O1,d/sortgdcO1,10000000-3.in,10000000,5.406861769999978
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10-1.in,10,0.0017905639999753475
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100000-1.in,100000,0.0532856790000551
hubert-pc,D,sort,O2,d/sortgdcO2,100000-1.in,100000,0.05467154500001925
hubert-pc,D,sort,O1,d/sortgdcO1,10000000-4.in,10000000,5.385402926999973
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,1000000-3.in,1000000,0.4961357139999336
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,100000-1.in,100000,0.05448836300001858
hubert-pc,D,sort,O1,d/sortgdcO1,1000000-5.in,1000000,0.5283438310000292
hubert-pc,Python,quicksort,,python/quicksort.py,10-5.in,10,0.021372588000076576
hubert-pc,Python,quicksort,,python/quicksort.py,100-5.in,100,0.02407002100005684
hubert-pc,D,sort,O3,d/sortgdcO3,100-3.in,100,0.001613092999946275
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-1.in,100,0.0012996560000146928
hubert-pc,D,sort,O1,d/sortgdcO1,100000-3.in,100000,0.055496975999972165
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10000-3.in,10000,0.008373460000029809
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10-2.in,10,0.001556668999910471
hubert-pc,Python,sort,,python/sort.py,1000-1.in,1000,0.02522762099999909
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-2.in,100000,0.055086569999957646
hubert-pc,Python,quicksort,,python/quicksort.py,10000000-2.in,10000000,73.65833320499996
hubert-pc,D,sort,O0,d/sortgdcO0,1000-5.in,1000,0.00261574399996789
hubert-pc,Python,sort,,python/sort.py,10000000-1.in,10000000,18.276468980000004
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10000-2.in,10000,0.006517325999993773
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-1.in,1000000,0.501095712999927
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-2.in,100,0.0020552619999989474
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-5.in,10000000,13.94609528300009
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-4.in,1000,0.001754321000021264
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-1.in,10000000,5.113609624999981
hubert-pc,D,sort,O1,d/sortgdcO1,10000-2.in,10000,0.007329550000008567
hubert-pc,D,sort,O3,d/sortgdcO3,1000000-4.in,1000000,0.5203722410000182
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-5.in,10000,0.006732828000053814
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000-1.in,1000,0.002574623999976211
hubert-pc,D,sort,O3,d/sortgdcO3,10000000-3.in,10000000,5.360287967999966
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10000-3.in,10000,0.008679962000087471
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-2.in,100000,0.05335846299999503
hubert-pc,D,sort,O3,d/sortgdcO3,100-1.in,100,0.0017867340000066179
hubert-pc,Python,sort,,python/sort.py,100000-3.in,100000,0.136063920999959
hubert-pc,D,sort,O2,d/sortgdcO2,10000000-4.in,10000000,5.2673124079999525
hubert-pc,D,sort,O1,d/sortgdcO1,1000000-2.in,1000000,0.5275461049998285
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-1.in,10000,0.006714532999922085
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,1000-4.in,1000,0.0016882299998997041
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10-3.in,10,0.0012561689998165093
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-2.in,10000000,14.050982455999929
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10000-4.in,10000,0.006046326999921803
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-4.in,100000,0.1364868050000041
hubert-pc,D,sort,O1,d/sortgdcO1,1000000-1.in,1000000,0.5270238319999407
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100-2.in,100,0.0018405069999971602
hubert-pc,D,sort,O3,d/sortgdcO3,1000-3.in,1000,0.0019749250000131724
hubert-pc,D,sort,O3,d/sortgdcO3,10-1.in,10,0.0013057740000022022
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-5.in,100000,0.054635162000067794
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-1.in,100000,0.05252636299996993
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10000-3.in,10000,0.01249512300000788
hubert-pc,D,sort,O3,d/sortgdcO3,1000000-1.in,1000000,0.5220249579999745
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10000-1.in,10000,0.006340555999940989
hubert-pc,D,sort,O0,d/sortgdcO0,10000000-2.in,10000000,8.245483524999827
